09,01,07,01
01,03,03,13
02,08,08,06
01,07,10,07
10,12,11,05
07,05,05,09
05,08,08,13
12,10,04,03
03,06,04,05
12,08,08,11
03,12,02,04
04,04,11,12
04,10,03,01
13,04,01,08
10,11,06,03
06,03,06,10
06,09,08,04
12,01,06,01
03,06,11,07
03,08,10,02
03,09,01,03
12,10,03,12
03,02,10,04
10,01,07,12
05,10,08,11
09,10,06,08
09,11,04,05
03,07,11,02
08,04,07,01
01,06,03,05
05,01,11,11
04,07,03,03
01,07,01,10
04,12,12,01
02,06,09,02
10,01,01,10
06,12,06,01
07,11,01,11
03,03,08,08
02,05,10,07
04,01,03,02
02,01,05,09
06,04,06,06
10,07,06,10
09,13,11,08
11,04,08,01
04,05,07,05
07,03,03,08
09,07,08,09
03,08,08,01
12,13,01,02
10,08,08,13
09,09,10,13
10,09,04,07
06,01,05,10
01,01,11,10
10,01,09,09
11,07,11,05
02,10,01,12
05,04,12,06
12,06,10,06
12,10,10,06
04,05,10,04
07,10,13,04
10,01,03,02
04,10,05,03
13,12,05,08
01,10,06,11
08,05,03,07
09,12,08,11
11,12,05,13
04,09,10,02
08,04,10,04
13,08,09,05
04,03,08,01
08,01,06,03
07,01,11,12
08,07,11,01
10,11,07,08
02,06,07,04
04,09,09,09
12,01,10,05
06,04,13,05
04,01,07,07
11,01,08,05
02,07,12,09
08,08,07,03
04,10,09,01
13,04,05,03
01,02,05,10
02,07,10,01
09,05,13,10
07,03,03,07
06,12,07,01
07,11,12,01
02,04,08,05
07,11,11,08
09,08,07,02
07,04,02,06
06,08,08,02
